CompanyID;CompanyAcronym;CompanyName;SignalID;HistorianID;HistorianAcronym;HistorianConnectionString;PointID;PointTag;AlternateTag;DeviceID;NodeID;DeviceAcronym;DeviceName;FramesPerSecond;DeviceEnabled;ContactList;VendorDeviceID;VendorDeviceName;VendorDeviceDescription;ProtocolID;ProtocolAcronym;ProtocolName;SignalTypeID;PhasorSourceIndex;PhasorLabel;PhasorType;Phase;BaseKV;SignalReference;Adder;Multiplier;Description;Subscribed;Internal;Enabled;EngineeringUnits;Source;SignalAcronym;SignalName;SignalTypeSuffix;Longitude;Latitude;ID;UpdatedOn
30;TVA;Tennessee Valley Authority;e27a36ef-8b18-4f61-b466-c9820d4b3623;2;STAT;;31;TVA_TESTDEVICE!PMU:ST4;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!PMU-ST4;0.0;1.0;Device statistic for Number of measurements received from device during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:31;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;60479db8-3e26-45c6-8397-1072cb83c3bf;2;STAT;;32;TVA_TESTDEVICE!PMU:ST5;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!PMU-ST5;0.0;1.0;Device statistic for Expected number of measurements received from device during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:32;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;40f10821-a3f9-4d1f-b036-156d4d7f16fc;2;STAT;;33;TVA_TESTDEVICE!PMU:ST6;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!PMU-ST6;0.0;1.0;Device statistic for Number of measurements received while device was reporting errors during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:33;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;0ccc75c1-50b6-478e-ad64-89a87d5de203;2;STAT;;34;TVA_TESTDEVICE!PMU:ST7;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!PMU-ST7;0.0;1.0;Device statistic for Number of defined measurements (per frame) from device during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:34;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;5242c29a-68cb-440e-b1d9-7297695f23d9;2;STAT;;35;TVA_TESTDEVICE!IS:ST1;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!IS-ST1;0.0;1.0;InputStream statistic for Total number of frames received from input stream during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:35;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;f9f68305-01ad-498c-8110-6ab70ee64cfd;2;STAT;;36;TVA_TESTDEVICE!IS:ST2;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!IS-ST2;0.0;1.0;InputStream statistic for Timestamp of last received data frame from input stream.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:36;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;991703a3-df0f-4b75-94c4-c9cb9e112763;2;STAT;;37;TVA_TESTDEVICE!IS:ST3;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!IS-ST3;0.0;1.0;InputStream statistic for Number of frames that were not received from input stream during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:37;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;7fd657a0-b71a-472c-b127-7da0f75574fd;2;STAT;;38;TVA_TESTDEVICE!IS:ST4;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!IS-ST4;0.0;1.0;InputStream statistic for Number of CRC errors reported from input stream during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:38;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;0e09699b-84d3-4635-b976-3968304dd16e;2;STAT;;39;TVA_TESTDEVICE!IS:ST5;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!IS-ST5;0.0;1.0;InputStream statistic for Number of out-of-order frames received from input stream during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:39;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;94d750a8-cc39-4d0c-b379-480be66613c1;2;STAT;;40;TVA_TESTDEVICE!IS:ST6;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!IS-ST6;0.0;1.0;InputStream statistic for Minimum latency from input stream, in milliseconds, during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:40;12/05/2021 21:34
